"user_id","average_day_between_orders","total_orders","total_items_purchased","reorder_ratio","cluster","segment"
44,30.00,3,37,0.1892,0,Potential Churn
45,30.00,4,18,0.0556,0,Potential Churn
46,21.00,19,157,0.6051,1,The Loyalist
47,14.00,5,26,0.1923,2,The Newcomer
48,14.00,10,113,0.4867,2,The Newcomer
49,28.00,8,47,0.0426,0,Potential Churn
50,6.00,67,453,0.8035,1,The Loyalist
51,17.00,3,29,0.1724,2,The Newcomer
52,10.00,27,169,0.6982,1,The Loyalist
53,16.00,3,35,0.0286,2,The Newcomer
54,1.00,77,619,0.5961,1,The Loyalist
55,13.00,7,87,0.5057,2,The Newcomer
56,8.00,12,145,0.6414,1,The Loyalist
57,10.00,14,72,0.5694,1,The Loyalist
58,6.00,15,97,0.3299,2,The Newcomer
59,11.00,10,92,0.3478,2,The Newcomer
60,30.00,8,67,0.3284,0,Potential Churn
61,30.00,4,87,0.0920,0,Potential Churn
62,4.00,10,80,0.3375,2,The Newcomer
63,13.00,39,504,0.6091,1,The Loyalist
64,9.00,10,135,0.5778,1,The Loyalist
65,30.00,14,132,0.3939,0,Potential Churn
66,30.00,6,23,0.2174,0,Potential Churn
67,1.00,24,81,0.7160,1,The Loyalist
68,30.00,6,70,0.2714,0,Potential Churn
69,13.00,5,50,0.4000,2,The Newcomer
70,30.00,13,104,0.3173,0,Potential Churn
71,18.00,23,437,0.7574,1,The Loyalist
72,30.00,12,47,0.6809,0,Potential Churn
73,22.00,7,24,0.3333,0,Potential Churn
74,30.00,5,48,0.1250,0,Potential Churn
75,9.00,23,311,0.6817,1,The Loyalist
76,30.00,9,32,0.2188,0,Potential Churn
77,6.00,12,203,0.3695,2,The Newcomer
78,30.00,6,41,0.0732,0,Potential Churn
79,30.00,7,93,0.4731,0,Potential Churn
80,6.00,12,128,0.5938,1,The Loyalist
81,30.00,7,27,0.2593,0,Potential Churn
82,8.00,19,131,0.7939,1,The Loyalist
83,20.00,6,39,0.3333,0,Potential Churn
84,30.00,8,64,0.3125,0,Potential Churn
85,10.00,7,30,0.4667,2,The Newcomer
86,19.00,17,267,0.5131,1,The Loyalist
87,7.00,27,176,0.6534,1,The Loyalist
88,23.00,7,11,0.5455,0,Potential Churn
89,7.00,20,239,0.6695,1,The Loyalist
90,1.00,71,670,0.8851,1,The Loyalist
91,5.00,15,211,0.5972,1,The Loyalist
92,21.00,5,20,0.3000,0,Potential Churn
93,30.00,14,31,0.1613,0,Potential Churn
94,15.00,9,56,0.1964,2,The Newcomer
95,11.00,8,144,0.3194,2,The Newcomer
96,9.00,16,143,0.6084,1,The Loyalist
97,14.00,5,54,0.0926,2,The Newcomer
98,8.00,14,50,0.4600,2,The Newcomer
99,8.00,18,211,0.4028,1,The Loyalist
100,26.00,5,27,0.2593,0,Potential Churn
101,4.00,20,170,0.4941,1,The Loyalist
102,30.00,6,59,0.4237,0,Potential Churn
103,13.00,17,77,0.4675,2,The Newcomer
104,4.00,5,18,0.2778,2,The Newcomer
105,30.00,7,14,0.2857,0,Potential Churn
106,12.00,3,41,0.1220,2,The Newcomer
107,9.00,15,130,0.4462,1,The Loyalist
108,30.00,7,69,0.4348,0,Potential Churn
109,15.00,6,69,0.2754,2,The Newcomer
110,4.00,20,347,0.5562,1,The Loyalist
111,3.00,7,56,0.1071,2,The Newcomer
112,5.00,26,158,0.5823,1,The Loyalist
113,22.00,5,5,0.8000,0,Potential Churn
114,12.00,4,66,0.4091,2,The Newcomer
115,9.00,12,79,0.1899,2,The Newcomer
116,10.00,6,25,0.1600,2,The Newcomer
117,20.00,11,120,0.4333,0,Potential Churn
118,19.00,27,165,0.7030,1,The Loyalist
119,17.00,3,22,0.2727,2,The Newcomer
120,19.00,3,7,0.4286,0,Potential Churn
121,17.00,10,55,0.5455,2,The Newcomer
122,22.00,29,120,0.6000,1,The Loyalist
123,17.00,10,63,0.4921,2,The Newcomer
124,14.00,8,79,0.3924,2,The Newcomer
125,9.00,13,182,0.4505,1,The Loyalist
126,21.00,10,105,0.4476,0,Potential Churn
127,6.00,17,305,0.5344,1,The Loyalist
128,1.00,11,91,0.2418,2,The Newcomer
129,1.00,11,64,0.4844,2,The Newcomer
130,30.00,3,37,0.1622,0,Potential Churn
131,15.00,9,59,0.5763,2,The Newcomer
132,5.00,24,116,0.6034,1,The Loyalist
133,6.00,20,544,0.5074,1,The Loyalist
134,30.00,6,47,0.4468,0,Potential Churn
135,11.00,4,26,0.3462,2,The Newcomer
136,29.00,4,47,0.1277,0,Potential Churn
137,8.00,6,72,0.6528,2,The Newcomer
138,10.00,32,148,0.6284,1,The Loyalist
139,6.00,4,14,0.4286,2,The Newcomer
140,4.00,76,1151,0.7359,1,The Loyalist
141,2.00,4,41,0.1463,2,The Newcomer
142,4.00,45,368,0.8098,1,The Loyalist
143,7.00,14,222,0.4775,1,The Loyalist
144,11.00,7,26,0.5769,2,The Newcomer
145,3.00,8,67,0.4776,2,The Newcomer
146,19.00,40,371,0.6307,1,The Loyalist
147,30.00,13,63,0.6825,0,Potential Churn
148,30.00,7,103,0.1748,0,Potential Churn
149,12.00,15,228,0.5132,1,The Loyalist
150,6.00,31,288,0.4618,1,The Loyalist
151,2.00,11,164,0.2683,2,The Newcomer
152,1.00,65,696,0.7744,1,The Loyalist
153,7.00,19,267,0.6629,1,The Loyalist
154,4.00,35,620,0.6661,1,The Loyalist
155,1.00,22,241,0.7925,1,The Loyalist
156,5.00,3,18,0.3889,2,The Newcomer
157,6.00,4,44,0.2955,2,The Newcomer
158,13.00,5,31,0.1290,2,The Newcomer
159,21.00,4,53,0.3774,0,Potential Churn
160,6.00,12,265,0.5358,1,The Loyalist
161,22.00,20,263,0.5095,1,The Loyalist
162,3.00,14,87,0.2414,2,The Newcomer
163,0.00,11,77,0.3117,2,The Newcomer
164,30.00,10,190,0.7368,1,The Loyalist
165,27.00,7,92,0.4565,0,Potential Churn
166,16.00,6,28,0.1786,2,The Newcomer
167,20.00,5,54,0.1667,0,Potential Churn
168,8.00,22,140,0.3500,1,The Loyalist
169,6.00,6,85,0.1059,2,The Newcomer
170,30.00,3,8,0.1250,0,Potential Churn
171,20.00,6,57,0.3684,0,Potential Churn
172,14.00,6,20,0.3000,2,The Newcomer
173,15.00,44,426,0.4390,1,The Loyalist
174,11.00,27,173,0.5145,1,The Loyalist
175,7.00,23,130,0.2846,2,The Newcomer
176,8.00,6,43,0.1628,2,The Newcomer
177,0.00,14,48,0.5000,2,The Newcomer
178,15.00,5,60,0.2333,2,The Newcomer
179,30.00,5,31,0.1613,0,Potential Churn
180,18.00,6,222,0.4820,2,The Newcomer
181,30.00,10,96,0.4583,0,Potential Churn
182,7.00,26,204,0.6618,1,The Loyalist
183,30.00,4,76,0.2368,0,Potential Churn
184,4.00,11,153,0.5294,1,The Loyalist
185,30.00,6,40,0.1500,0,Potential Churn
186,7.00,7,54,0.2963,2,The Newcomer
187,8.00,32,203,0.6897,1,The Loyalist
188,5.00,5,72,0.2917,2,The Newcomer
189,30.00,11,59,0.4237,0,Potential Churn
190,12.00,17,160,0.4313,1,The Loyalist
191,7.00,4,23,0.1304,2,The Newcomer
192,30.00,5,42,0.6190,0,Potential Churn
193,30.00,5,33,0.0606,0,Potential Churn
194,9.00,9,90,0.3778,2,The Newcomer
195,1.00,58,185,0.7946,1,The Loyalist
196,30.00,3,3,0.3333,0,Potential Churn
197,1.00,20,448,0.6138,1,The Loyalist
198,22.00,5,51,0.3137,0,Potential Churn
199,10.00,3,16,0.5000,2,The Newcomer
200,30.00,9,172,0.4884,0,Potential Churn
201,30.00,7,53,0.3208,0,Potential Churn
202,18.00,13,365,0.5452,1,The Loyalist
203,30.00,3,11,0.5455,0,Potential Churn
204,8.00,58,515,0.6388,1,The Loyalist
205,22.00,12,49,0.6531,0,Potential Churn
206,5.00,28,177,0.5254,1,The Loyalist
207,23.00,3,22,0.2727,0,Potential Churn
208,30.00,18,93,0.5699,0,Potential Churn
209,15.00,19,316,0.8354,1,The Loyalist
210,3.00,99,1476,0.8421,1,The Loyalist
211,13.00,4,49,0.2449,2,The Newcomer
212,12.00,12,29,0.4138,2,The Newcomer
213,11.00,5,56,0.1429,2,The Newcomer
214,7.00,27,479,0.6221,1,The Loyalist
215,30.00,5,31,0.0645,0,Potential Churn
216,22.00,17,339,0.7375,1,The Loyalist
217,7.00,11,79,0.2405,2,The Newcomer
218,12.00,6,6,0.6667,2,The Newcomer
219,2.00,33,404,0.6213,1,The Loyalist
220,28.00,16,114,0.6140,0,Potential Churn
221,10.00,23,231,0.7273,1,The Loyalist
222,1.00,70,484,0.7169,1,The Loyalist
223,7.00,49,643,0.7714,1,The Loyalist
224,23.00,3,22,0.2273,0,Potential Churn
225,6.00,11,60,0.5667,2,The Newcomer
226,6.00,21,220,0.6909,1,The Loyalist
227,7.00,31,562,0.6192,1,The Loyalist
228,10.00,4,50,0.2600,2,The Newcomer
229,10.00,17,187,0.7059,1,The Loyalist
230,13.00,10,56,0.5536,2,The Newcomer
231,17.00,3,65,0.4154,2,The Newcomer
232,13.00,36,445,0.7888,1,The Loyalist
233,19.00,25,478,0.7615,1,The Loyalist
234,14.00,42,550,0.5873,1,The Loyalist
235,9.00,21,192,0.5260,1,The Loyalist
236,2.00,45,515,0.3961,1,The Loyalist
237,0.00,8,69,0.1884,2,The Newcomer
238,30.00,6,202,0.4109,0,Potential Churn
239,16.00,5,45,0.1556,2,The Newcomer
240,30.00,5,15,0.2667,0,Potential Churn
241,5.00,14,124,0.3387,2,The Newcomer
242,9.00,16,134,0.4552,1,The Loyalist
243,7.00,27,351,0.6809,1,The Loyalist
244,11.00,7,43,0.0930,2,The Newcomer
245,30.00,5,47,0.2766,0,Potential Churn
246,9.00,5,33,0.2424,2,The Newcomer
247,30.00,5,31,0.2258,0,Potential Churn
248,2.00,58,392,0.7985,1,The Loyalist
249,12.00,9,40,0.6750,2,The Newcomer
250,4.00,11,105,0.6857,1,The Loyalist
251,23.00,10,77,0.4805,0,Potential Churn
252,30.00,4,46,0.1739,0,Potential Churn
253,30.00,3,23,0.1739,0,Potential Churn
254,3.00,11,105,0.3810,2,The Newcomer
255,13.00,4,80,0.3875,2,The Newcomer
256,13.00,18,221,0.5611,1,The Loyalist
257,10.00,20,121,0.4545,1,The Loyalist
258,6.00,24,213,0.5164,1,The Loyalist
259,6.00,3,16,0.1250,2,The Newcomer
260,30.00,17,104,0.7019,1,The Loyalist
261,2.00,8,56,0.1250,2,The Newcomer
262,1.00,45,262,0.4427,1,The Loyalist
263,12.00,3,24,0.3333,2,The Newcomer
264,9.00,29,691,0.6961,1,The Loyalist
265,8.00,7,28,0.3214,2,The Newcomer
266,30.00,5,30,0.1333,0,Potential Churn
267,30.00,9,324,0.5401,0,Potential Churn
268,30.00,9,67,0.1045,0,Potential Churn
269,30.00,3,67,0.0746,0,Potential Churn
270,5.00,22,66,0.5606,1,The Loyalist
271,30.00,15,17,0.7647,0,Potential Churn
272,30.00,9,65,0.3692,0,Potential Churn
273,8.00,19,108,0.4352,1,The Loyalist
274,18.00,14,188,0.2872,2,The Newcomer
275,6.00,14,163,0.4172,1,The Loyalist
276,7.00,9,62,0.4839,2,The Newcomer
277,30.00,3,23,0.2174,0,Potential Churn
278,3.00,68,267,0.7903,1,The Loyalist
279,30.00,14,100,0.2300,0,Potential Churn
280,27.00,41,530,0.7358,1,The Loyalist
281,8.00,30,303,0.5908,1,The Loyalist
282,30.00,3,22,0.1364,0,Potential Churn
283,30.00,5,36,0.2500,0,Potential Churn
284,5.00,16,358,0.6760,1,The Loyalist
285,30.00,4,38,0.1316,0,Potential Churn
286,3.00,3,26,0.0000,2,The Newcomer
287,0.00,14,18,0.6111,2,The Newcomer
288,30.00,3,19,0.0526,0,Potential Churn
289,3.00,49,705,0.8482,1,The Loyalist
290,7.00,51,1590,0.6553,1,The Loyalist
291,25.00,4,17,0.1176,0,Potential Churn
292,30.00,8,131,0.5420,0,Potential Churn
293,7.00,8,114,0.4912,2,The Newcomer
294,6.00,15,108,0.5370,1,The Loyalist
295,7.00,23,265,0.7887,1,The Loyalist
296,0.00,6,30,0.1000,2,The Newcomer
297,21.00,11,49,0.3673,0,Potential Churn
298,14.00,3,49,0.4490,2,The Newcomer
299,18.00,9,64,0.2344,2,The Newcomer
300,10.00,38,280,0.4321,1,The Loyalist
301,6.00,18,148,0.3514,1,The Loyalist
302,30.00,10,76,0.1316,0,Potential Churn
303,26.00,8,13,0.2308,0,Potential Churn
304,5.00,42,278,0.7842,1,The Loyalist
305,30.00,4,40,0.1750,0,Potential Churn
306,14.00,24,120,0.5667,1,The Loyalist
307,3.00,34,171,0.8187,1,The Loyalist
308,1.00,3,11,0.0000,2,The Newcomer
309,0.00,25,308,0.4318,1,The Loyalist
310,4.00,99,493,0.7120,1,The Loyalist
311,12.00,15,61,0.6393,1,The Loyalist
312,13.00,4,29,0.4483,2,The Newcomer
313,0.00,99,787,0.8348,1,The Loyalist
314,30.00,5,11,0.1818,0,Potential Churn
315,6.00,4,34,0.2941,2,The Newcomer
316,14.00,21,190,0.4789,1,The Loyalist
317,8.00,4,40,0.0500,2,The Newcomer
318,8.00,7,7,0.8571,2,The Newcomer
319,7.00,8,55,0.2909,2,The Newcomer
320,8.00,5,142,0.1831,2,The Newcomer
321,11.00,33,478,0.6820,1,The Loyalist
322,30.00,14,150,0.5667,0,Potential Churn
323,2.00,71,1050,0.7810,1,The Loyalist
324,17.00,11,93,0.3548,2,The Newcomer
325,30.00,7,94,0.4043,0,Potential Churn
326,10.00,5,47,0.5319,2,The Newcomer
327,4.00,63,734,0.6689,1,The Loyalist
328,11.00,12,126,0.5000,1,The Loyalist
329,30.00,8,33,0.2121,0,Potential Churn
330,30.00,7,36,0.3889,0,Potential Churn
331,30.00,8,39,0.1538,0,Potential Churn
332,6.00,12,234,0.5556,1,The Loyalist
333,28.00,8,42,0.5714,0,Potential Churn
334,8.00,63,841,0.7455,1,The Loyalist
335,7.00,6,44,0.0227,2,The Newcomer
336,8.00,11,42,0.4762,2,The Newcomer
337,13.00,12,247,0.4332,1,The Loyalist
338,30.00,5,26,0.2692,0,Potential Churn
339,12.00,3,29,0.1724,2,The Newcomer
340,14.00,5,53,0.2264,2,The Newcomer
341,7.00,11,195,0.4718,1,The Loyalist
342,25.00,16,139,0.3453,0,Potential Churn
343,30.00,4,18,0.1111,0,Potential Churn
344,30.00,9,25,0.5200,0,Potential Churn
345,30.00,3,13,0.2308,0,Potential Churn
346,30.00,6,36,0.3889,0,Potential Churn
347,1.00,3,13,0.6154,2,The Newcomer
348,30.00,28,135,0.1704,0,Potential Churn
349,9.00,7,41,0.2683,2,The Newcomer
350,8.00,14,171,0.5029,1,The Loyalist
351,26.00,14,180,0.6778,1,The Loyalist
352,8.00,10,195,0.4103,2,The Newcomer
353,7.00,11,111,0.2523,2,The Newcomer
354,22.00,5,7,0.7143,0,Potential Churn
355,4.00,13,136,0.4485,2,The Newcomer
356,1.00,3,23,0.0435,2,The Newcomer
357,21.00,8,154,0.6688,1,The Loyalist
358,30.00,7,53,0.3962,0,Potential Churn
359,21.00,15,199,0.4171,1,The Loyalist
360,6.00,3,16,0.1875,2,The Newcomer
361,6.00,6,89,0.2697,2,The Newcomer
362,6.00,11,111,0.3153,2,The Newcomer
363,8.00,12,214,0.4673,1,The Loyalist
364,6.00,18,177,0.6780,1,The Loyalist
365,7.00,15,37,0.5135,2,The Newcomer
366,6.00,3,39,0.0769,2,The Newcomer
367,27.00,4,78,0.4103,0,Potential Churn
368,30.00,4,7,0.1429,0,Potential Churn
369,18.00,16,121,0.5372,1,The Loyalist
370,9.00,27,332,0.6325,1,The Loyalist
371,12.00,3,29,0.2414,2,The Newcomer
372,30.00,12,87,0.3678,0,Potential Churn
373,3.00,58,568,0.6954,1,The Loyalist
374,29.00,16,23,0.6957,0,Potential Churn
375,30.00,7,116,0.6552,0,Potential Churn
376,10.00,8,89,0.5056,2,The Newcomer
377,3.00,3,29,0.0690,2,The Newcomer
378,21.00,8,20,0.6000,0,Potential Churn
379,28.00,19,200,0.3950,0,Potential Churn
380,30.00,12,47,0.5532,0,Potential Churn
381,10.00,16,355,0.5521,1,The Loyalist
382,23.00,29,212,0.6179,1,The Loyalist
383,30.00,9,98,0.4796,0,Potential Churn
384,30.00,9,21,0.5714,0,Potential Churn
385,30.00,4,33,0.3030,0,Potential Churn
386,30.00,4,38,0.1579,0,Potential Churn
387,8.00,8,59,0.4746,2,The Newcomer
388,30.00,10,14,0.5714,0,Potential Churn
389,13.00,12,201,0.5473,1,The Loyalist
390,30.00,22,381,0.6955,1,The Loyalist
391,14.00,23,202,0.6782,1,The Loyalist
392,5.00,6,15,0.8000,2,The Newcomer
393,30.00,10,215,0.4093,0,Potential Churn
394,30.00,5,198,0.3636,0,Potential Churn
395,30.00,3,18,0.0000,0,Potential Churn
396,30.00,18,296,0.6351,1,The Loyalist
397,4.00,3,18,0.1667,2,The Newcomer
398,29.00,53,441,0.7642,1,The Loyalist
399,8.00,3,27,0.0370,2,The Newcomer
400,30.00,5,74,0.4324,0,Potential Churn
401,7.00,4,45,0.1556,2,The Newcomer
402,9.00,4,9,0.5556,2,The Newcomer
403,7.00,32,442,0.4774,1,The Loyalist
404,7.00,6,46,0.0435,2,The Newcomer
405,26.00,5,45,0.1333,0,Potential Churn
406,3.00,4,62,0.1452,2,The Newcomer
407,4.00,4,73,0.1644,2,The Newcomer
408,30.00,4,36,0.1111,0,Potential Churn
409,8.00,86,850,0.8141,1,The Loyalist
410,10.00,28,566,0.6449,1,The Loyalist
411,30.00,11,62,0.6774,0,Potential Churn
412,5.00,4,37,0.0000,2,The Newcomer
413,4.00,20,238,0.6008,1,The Loyalist
414,30.00,3,28,0.0714,0,Potential Churn
415,9.00,6,50,0.5200,2,The Newcomer
416,23.00,3,21,0.2857,0,Potential Churn
417,13.00,9,81,0.2469,2,The Newcomer
418,25.00,8,167,0.3593,0,Potential Churn
419,7.00,24,68,0.5588,1,The Loyalist
420,6.00,22,128,0.4609,1,The Loyalist
421,4.00,3,16,0.1875,2,The Newcomer
422,6.00,27,270,0.7222,1,The Loyalist
423,1.00,42,100,0.7000,1,The Loyalist
424,7.00,4,7,0.4286,2,The Newcomer
425,21.00,7,99,0.2929,0,Potential Churn
426,30.00,13,40,0.7750,0,Potential Churn
427,14.00,8,43,0.4651,2,The Newcomer
428,30.00,3,28,0.1071,0,Potential Churn
429,14.00,29,100,0.5300,1,The Loyalist
430,4.00,8,61,0.3279,2,The Newcomer
431,7.00,9,11,0.8182,2,The Newcomer
432,3.00,52,445,0.7213,1,The Loyalist
433,9.00,5,32,0.2188,2,The Newcomer
434,7.00,4,34,0.2647,2,The Newcomer
435,20.00,13,145,0.6690,1,The Loyalist
436,17.00,16,48,0.4583,2,The Newcomer
437,17.00,19,185,0.2757,1,The Loyalist
438,5.00,11,169,0.5621,1,The Loyalist
439,6.00,9,129,0.2558,2,The Newcomer
440,21.00,18,44,0.6136,1,The Loyalist
441,30.00,14,68,0.5882,0,Potential Churn
442,30.00,12,159,0.4151,0,Potential Churn
443,30.00,10,141,0.3759,0,Potential Churn
444,7.00,42,1181,0.8662,1,The Loyalist
445,30.00,4,22,0.2273,0,Potential Churn
446,30.00,8,26,0.1923,0,Potential Churn
447,7.00,5,17,0.4118,2,The Newcomer
448,7.00,33,447,0.7785,1,The Loyalist
449,17.00,21,114,0.5088,1,The Loyalist
450,28.00,17,187,0.5241,1,The Loyalist
451,8.00,32,242,0.7934,1,The Loyalist
452,2.00,24,301,0.4950,1,The Loyalist
453,30.00,13,97,0.6804,0,Potential Churn
454,8.00,54,658,0.7614,1,The Loyalist
455,2.00,7,66,0.2273,2,The Newcomer
456,30.00,6,29,0.2414,0,Potential Churn
457,30.00,4,62,0.4355,0,Potential Churn
458,12.00,14,160,0.8063,1,The Loyalist
459,8.00,23,111,0.7748,1,The Loyalist
460,30.00,3,38,0.1842,0,Potential Churn
461,28.00,4,19,0.5263,0,Potential Churn
462,5.00,59,1144,0.8558,1,The Loyalist
463,4.00,7,85,0.2706,2,The Newcomer
464,5.00,49,388,0.5696,1,The Loyalist
465,6.00,40,486,0.6667,1,The Loyalist
466,21.00,31,686,0.6429,1,The Loyalist
467,21.00,5,55,0.3818,0,Potential Churn
468,30.00,6,20,0.5000,0,Potential Churn
469,30.00,8,55,0.3636,0,Potential Churn
470,4.00,16,76,0.6053,1,The Loyalist
471,16.00,6,125,0.3120,2,The Newcomer
472,30.00,4,8,0.1250,0,Potential Churn
473,5.00,11,222,0.5315,1,The Loyalist
474,7.00,29,179,0.5307,1,The Loyalist
475,30.00,28,175,0.4286,1,The Loyalist
476,4.00,16,216,0.4398,1,The Loyalist
477,10.00,4,21,0.2857,2,The Newcomer
478,30.00,8,70,0.1000,0,Potential Churn
479,28.00,23,238,0.6471,1,The Loyalist
480,2.00,12,176,0.3920,2,The Newcomer
481,10.00,35,452,0.7633,1,The Loyalist
482,14.00,9,116,0.5603,2,The Newcomer
483,14.00,9,20,0.8000,2,The Newcomer
484,20.00,10,38,0.5789,0,Potential Churn
485,14.00,12,143,0.5874,1,The Loyalist
486,11.00,12,285,0.5789,1,The Loyalist
487,8.00,33,490,0.6714,1,The Loyalist
488,30.00,6,112,0.2411,0,Potential Churn
489,30.00,7,83,0.2410,0,Potential Churn
490,20.00,3,4,0.2500,0,Potential Churn
491,30.00,3,31,0.2258,0,Potential Churn
492,8.00,5,57,0.5088,2,The Newcomer
493,5.00,7,74,0.4459,2,The Newcomer
494,12.00,3,103,0.2718,2,The Newcomer
495,15.00,24,308,0.6201,1,The Loyalist
496,1.00,82,452,0.7611,1,The Loyalist
497,19.00,9,160,0.5313,1,The Loyalist
498,13.00,12,134,0.3060,2,The Newcomer
499,7.00,6,59,0.2203,2,The Newcomer
500,7.00,3,38,0.3947,2,The Newcomer
501,30.00,6,69,0.3913,0,Potential Churn
502,30.00,7,160,0.5688,0,Potential Churn
503,28.00,36,334,0.6138,1,The Loyalist
504,30.00,4,30,0.2333,0,Potential Churn
505,2.00,3,13,0.0769,2,The Newcomer
506,16.00,4,12,0.1667,2,The Newcomer
507,14.00,7,133,0.2481,2,The Newcomer
508,8.00,19,238,0.6429,1,The Loyalist
509,30.00,11,156,0.5321,0,Potential Churn
510,2.00,9,54,0.1667,2,The Newcomer
511,30.00,5,53,0.2075,0,Potential Churn
512,13.00,4,57,0.2632,2,The Newcomer
513,4.00,3,8,0.0000,2,The Newcomer
514,8.00,5,24,0.5000,2,The Newcomer
515,30.00,19,70,0.5714,0,Potential Churn
516,5.00,93,900,0.8156,1,The Loyalist
517,7.00,4,32,0.5938,2,The Newcomer
518,16.00,5,17,0.4706,2,The Newcomer
519,30.00,10,24,0.7500,0,Potential Churn
520,20.00,29,245,0.5714,1,The Loyalist
521,14.00,6,25,0.4000,2,The Newcomer
522,10.00,10,64,0.3750,2,The Newcomer
523,30.00,12,59,0.4068,0,Potential Churn
524,30.00,5,69,0.4493,0,Potential Churn
525,9.00,36,196,0.6173,1,The Loyalist
526,21.00,4,155,0.5226,0,Potential Churn
527,28.00,3,7,0.4286,0,Potential Churn
528,14.00,34,494,0.7429,1,The Loyalist
529,5.00,50,324,0.5957,1,The Loyalist
530,7.00,3,49,0.0612,2,The Newcomer
531,3.00,29,164,0.6341,1,The Loyalist
532,12.00,4,59,0.2542,2,The Newcomer
533,18.00,4,41,0.1951,2,The Newcomer
534,14.00,7,13,0.3846,2,The Newcomer
535,30.00,28,200,0.4800,1,The Loyalist
536,30.00,3,25,0.1200,0,Potential Churn
537,8.00,5,20,0.0500,2,The Newcomer
538,25.00,26,226,0.4867,1,The Loyalist
539,7.00,17,159,0.6226,1,The Loyalist
540,3.00,5,46,0.0435,2,The Newcomer
541,30.00,5,27,0.1111,0,Potential Churn
542,30.00,3,12,0.2500,0,Potential Churn
543,30.00,11,124,0.4758,0,Potential Churn
544,30.00,4,22,0.1364,0,Potential Churn
545,30.00,4,47,0.2340,0,Potential Churn
546,30.00,6,13,0.6154,0,Potential Churn
547,7.00,10,209,0.4593,1,The Loyalist
548,30.00,7,68,0.3382,0,Potential Churn
549,30.00,10,79,0.3165,0,Potential Churn
550,8.00,4,121,0.3884,2,The Newcomer
551,12.00,10,86,0.3023,2,The Newcomer
552,6.00,12,70,0.6857,1,The Loyalist
553,6.00,9,119,0.2773,2,The Newcomer
554,13.00,6,70,0.4000,2,The Newcomer
555,4.00,11,94,0.5000,2,The Newcomer
556,7.00,3,32,0.0000,2,The Newcomer
557,27.00,5,59,0.1864,0,Potential Churn
558,1.00,27,314,0.4682,1,The Loyalist
559,6.00,22,255,0.6431,1,The Loyalist
560,7.00,34,163,0.7853,1,The Loyalist
561,30.00,4,7,0.2857,0,Potential Churn
562,4.00,51,64,0.7969,1,The Loyalist
563,5.00,5,42,0.1667,2,The Newcomer
564,12.00,9,177,0.4463,2,The Newcomer
565,17.00,5,17,0.2353,2,The Newcomer
566,30.00,13,141,0.3475,0,Potential Churn
567,16.00,21,278,0.5971,1,The Loyalist
568,1.00,10,75,0.3200,2,The Newcomer
569,30.00,3,3,0.3333,0,Potential Churn
570,14.00,6,68,0.3382,2,The Newcomer
571,6.00,6,74,0.3919,2,The Newcomer
572,18.00,3,23,0.3478,2,The Newcomer
573,10.00,15,81,0.5679,1,The Loyalist
574,20.00,11,96,0.4479,0,Potential Churn
575,26.00,4,9,0.2222,0,Potential Churn
576,30.00,6,47,0.4043,0,Potential Churn
577,30.00,5,60,0.3167,0,Potential Churn
578,30.00,3,34,0.4412,0,Potential Churn
579,25.00,3,15,0.0000,0,Potential Churn
